STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN,TOBS
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011101,0,20,12.2,16.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011102,0,17.8,12.8,16.1
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011103,0,20.6,13.3,16.1
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011104,0,20.6,-9999,16.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011105,0,-9999,-9999,14.4
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011106,0,18.3,13.3,15.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011107,0,17.8,14.4,14.4
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011108,0,24.4,10.6,16.1
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011109,0,21.1,12.8,16.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011110,0,21.1,12.8,17.2
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011111,20.1,18.3,15,17.2
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011112,31.8,17.8,12.8,13.3
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011113,0,18.3,10,15.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011114,0,21.7,11.7,16.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011115,0,21.7,11.1,15.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011116,0,21.7,11.7,15
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011117,0,18.3,11.7,13.9
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011118,0,17.8,11.1,13.9
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011119,0,25,9.4,16.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011120,0,20.6,11.7,15.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011121,0,19.4,11.1,17.8
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011122,0,25,12.8,16.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011123,0,21.1,11.7,13.3
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011124,39.1,15.6,12.2,13.9
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011125,0,17.2,11.1,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011126,0,16.7,7.2,12.8
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011127,0,16.7,7.2,9.4
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011128,0,17.2,6.1,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011129,16.8,16.7,6.1,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011130,0,16.7,6.1,10.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011201,0,16.1,7.2,12.8
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011202,11.7,16.1,11.7,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011203,3.6,17.2,8.3,12.8
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011204,0,17.2,7.2,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011205,0,15.6,6.1,13.9
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011206,0,21.1,10.6,17.8
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011207,0,25.6,10,14.4
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011208,0,23.9,8.3,12.8
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011209,0,16.7,7.2,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011210,0,16.1,7.8,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011211,0,16.1,9.4,12.2
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011212,0,18.9,7.8,10.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011213,0,16.7,6.7,10
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011214,5.3,13.3,8.3,11.1
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011215,0,17.8,5.6,12.2
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011216,0,17.8,4.4,10
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011217,0,15,4.4,12.2
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011218,0,18.3,6.7,10.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011219,0,18.9,5.6,10.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011220,2,18.9,5.6,12.2
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011221,14.5,15.6,7.8,12.2
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011222,0,14.4,6.1,10.6
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011223,0,17.8,8.3,15
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011224,0,-9999,6.1,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011225,0,19.4,5.6,11.7
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011226,0,20.6,5.6,13.9
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011227,0,18.3,11.1,12.8
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011228,0,15.6,10.6,13.3
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011229,13.7,14.4,10.6,11.1
GHCND:USC00047902,SANTA BARBARA CA US,1.5,34.41667,-119.68528,20011230,5.1,15,11.1,12.8
